Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
UAB „Electronic Trade“,302662379,"V. Krėvės pr. 82B-22, Kaunas",29-24-201,2/6/2018,2/5/2019,Savanorių pr. 441B,Eiguliai,Iškaba: „bigbox“,70-13-110,2.49,
UAB „Spalvotos pramogos“,302663762,"Žeimenos g. 68-27, Kaunas",29-24-2561,12/13/2016,12/13/2018,Drobės g. 62,Žemieji Šančiai,Komercinė nuoroda: „Kartlandas  Kartodromas “,70-13-942,1.1,
UAB „Spalvotos pramogos“,302663762,"Žeimenos g. 68-27, Kaunas",29-24-536,3/14/2017,3/13/2019,Drobės g. 62,Žemieji Šančiai,Iškaba: „Kartlandas  Kartlandas Suk čia  Kartodromas tik už 100 m“,70-13-1524,2.65,
UAB „Spalvotos pramogos“,302663762,"Žeimenos g. 68-27, Kaunas",29-24-537,3/24/2017,3/23/2019,Drobės g. 62,Žemieji Šančiai,Iškaba: „Kartlandas  Kartodromas jau už kampo  Laukiame Tavęs 4 aukšte“,70-13-2414,4,
UAB „Spalvotos pramogos“,302663762,"Žeimenos g. 68-27, Kaunas",29-24-538,3/14/2017,3/13/2019,Drobės g. 62,Žemieji Šančiai,Iškaba: „Kartlandas  Kartodromas už 100 metrų“,70-13-255,4.76,
UAB „Pas pumą“ ,302664864,"Vytenio g. 2-3, Kaunas",29-24-2603,12/22/2017,12/22/2018,Vytenio g. 2,Panerys,Iškaba: „Pas pumą  Veterinarijos klinika  “,70-13-912,5,
UAB „Pas pumą“ ,302664864,"Vytenio g. 2-3, Kaunas",29-24-2604,12/22/2017,12/22/2018,Vytenio g. 2,Panerys,Iškaba: „Pas pumą  Veterinarijos klinika  “,70-13-913,0.85,
UAB „Visdenta“,302665247,"Pušų g. 15A, Kaunas",29-24-1821,12/3/2013,11/4/2018,Savanorių pr. 241,Dainava,Iškaba: „Visdenta  Dantų klinika (3.24)  Visdenta  Odontologijos klinika (2.2 ir 1.71) “,70-13-1610,"7,15",
UAB „CID Lietuva“,302666623,"Tilto g. 1, Vilnius",29-24-2227,11/16/2015,10/8/2020,Raudondvario pl. 101,Vilijampolė,Iškaba: „ CID“,70-13-1149,4,
UAB „SmartOffice“,302666655,"Buivydiškių g. 12A-201, Vilnius",29-24-2439,11/24/2017,11/24/2018,Islandijos pl. 91,Eiguliai,Iškaba: „Leica  Geosystems“,70-13-1554,3.432,
UAB „Kredito garantas“ ,302667426,"Turgaus g. 33-4, Klaipėda",29-24-502,3/15/2018,3/4/2023,A. Mickevičiaus g. 40,Naujamiestis,Iškaba: „Kredito garantas“,70-13-223,1.9,
UAB „Greater Outdoors“,302670290,"Krivių g. 43A-9, Vilnius",29-24-2554,12/9/2016,10/21/2021,Islandijos pl. 32,Eiguliai,Iškaba: „Napapijri“,70-13-1286,1.17,
UAB „Ievos grožio namai“ ,302671378,"Veiverių g. 183D, Kaunas",29-24-318,2/20/2018,2/1/2019,Veiverių g. 183D,Kazliškiai,Iškaba: „Ievos grožio namai  www.ievosgrozionamai.lt  GMT  Beauty SPA“,70-13-1537,6.3,
UAB „Inžinerija LT“,302677178,"Liepų g. 64, Klaipėda",29-24-2151,10/16/2017,9/30/2022,Gražinos g. 3A,Gričiupis,Iškaba: „Inžinerija LT“,70-13-1373,4.88,
Seesam Insurance AS Lietuvos filialas,302677744,"Konstitucijos pr. 29, Vilnius",29-24-1706,8/1/2016,7/20/2021,Pramonės pr. 4E,Naujasodis,Iškaba: „Seesam  OP bank  Darbo laikas“,70-13-864,2.83,
UAB „Tikri langai“ ,302679407,"Neries krant. 16, Kaunas",29-24-2040,7/18/2014,6/14/2019,Palemono g. 5,Palemonas,Iškaba: „UAB „Tikri langai“ “,70-13-1772,5.4,
UAB „Tikri langai“ ,302679407,"Palemono g. 5, 52159, Kaunas",29-24-1444,7/4/2018,7/3/2019,Savanorių pr. 377,Eiguliai,Iškaba: „Tikri langai  Langų ir durų gamyba  Tel. 40 79 43  8 610 235 10“,70-13-757,19.74,
"Taupkasė, kredito unija",302680384,"A. Merkio g. 1, Lapių mstl., Kauno r.",29-24-1143,4/11/2014,4/10/2019,Maironio g. 28,Naujamiestis,Iškaba: „Taupkasė (4 vnt)  Darbo laikas“,70-14-1089,1.66,
VšĮ Judesio studija „Strakaliukas“,302681739,"Šiaurės pr. 36-81, Kaunas",29-24-901,3/19/2014,3/18/2019,Savanorių pr. 206,Dainava,Iškaba: „Strakaliukas  Fizinis vaikų užimtumas  www.strakaliukas.lt“,70-13-802,4.08,
UAB „Invitro diagnostika“,302683455,"Žolynų g. 45-12, Klaipėda",29-24-1407,6/30/2015,6/17/2020,Savanorių pr. 169,Žaliakalnis,Iškaba: „Invitro diagnostika  Kraujo tyrimai“,70-13-736,0.98,
UAB Modi 2,302684799,"Igno Šimulionio g. 5-72, Vilnius",29-24-57,1/21/2018,12/31/2022,Vilniaus g. 70,Senamiestis,Iškaba: „Mo Di du“,70-13-1761,1.4,
UAB „Odenta 32“,302687343,"Baltų pr. 137-25, Kaunas",29-24-2248,10/24/2017,10/16/2022,Baltų pr. 137,Smėliai,Iškaba: „Odenta 32  Odontologijos klinika“,70-13-1422,1.11,
Tomo Mickevičiaus IĮ,302689846,"Baltijos g. 75-19, Kaunas",29-24-207,2/6/2018,1/29/2023,Tvirtovės al. 70,Žaliakalnis,Iškaba: „Alyvos keitimas“,70-13-83,2.5,
UAB „Amedana“,302690873,"Tauro g. 8-2, Vilnius",29-24-178,1/21/2014,1/20/2019,Vytauto pr. 23,Lampėdžiai,Iškaba: „MIRAMEDA  Medicinos klinika“,70-13-126,4.16,
UAB Medikadenta,302691530,"K. Petrausko g. 13-20, Kaunas",29-24-727,3/30/2017,3/26/2022,K. Petrausko g. 13,Dainava,Iškaba: „ODONTOLOGOJOS KLINIKA  Medikadenta“,70-13-265,3.59,
UAB RUMINAVET,302691605,"Panerių g. 212, Kaunas",29-24-579,3/4/2016,3/24/2019,Tvirtovės al. 47 / Kalniečių g. 108,Kalniečiai,Komercinė nuoroda: „www.RUMINAVET.LT (bėgančioji eilutė) “,70-13-314,0.4,
UAB RUMINAVET,302691605,"Agluonos g. 7-1, 47200, Kaunas",29-24-679,4/4/2017,3/24/2019,Tvirtovės al. 47 / Kalniečių g. 108,Kalniečiai,Komercinė nuoroda: „RUMINAVET  Veterinarijos klinika   Royal canin  Darbo laikas“,70-13-1087,4.58,
UAB „Miesto pica“,302693823,"S. Žukausko g. 22-16, Kaunas",29-24-1282,5/23/2016,2/16/2019,Savanorių pr. 149,Žaliakalnis,Iškaba: „Crispy chick  Greitojo maisto restoranas  www.crispychick.lt  8 684 66 966“,70-13-688,6.97,
UAB Aunelita,302695062,"Plačioji g. 13, Domeikavos k., Kauno r.",29-24-3320,12/31/2014,12/19/2019,Žemaičių pl. 66,Milikoniai,Iškaba: „Ūkinių prekių parduotuvė  50 m“,70-13-2983,6,
UAB „KIKA group“,302702927,"Romainių g. 61B, Kaunas",29-24-1682,11/18/2013,10/18/2018,Baltų pr. 49B,Smėliai,Iškaba: „Kika  group  Logo“,70-13-1415,12.46,
UAB „Savja“,302703872,"Baltijos g. 52A, Kaunas",29-24-1228,6/19/2018,6/18/2019,Brastos g. 9,Vilijampolė,"Iškaba: „ARP  Automobilių remonto paslaugos  Benzinų ir dyzelinių variklių taisymas  Važiuoklės taisymas  Duslintuvų taisymas  Ratų montavimas ir balansavimas  Tel.: 8 600 20 285, 8 605 33 693“",70-13-1407,"4,73",
UAB „Savja“,302703872,"Baltijos g. 52A, Kaunas",29-24-1229,6/19/2018,6/18/2019,Baltijos g. 52A,Smėliai,Iškaba: „Savja  Autoservisas “,70-13-494,"13,82",
UAB „Langvarta“,302704223,"Savanorių pr. 377, Kaunas",29-24-1047,5/12/2015,4/15/2020,Savanorių pr. 377,Eiguliai,Iškaba: „Langvarta Langai  Durys  Garažo vartai  Hormann“,70-13-431,4.7,
UAB „Langvarta“,302704223,"Savanorių pr. 377, Kaunas",29-24-1211,6/7/2018,8/7/2018,Savanorių pr. 377,Eiguliai,Iškaba: „Langvarta Langai  Durys  Garažo vartai  www.langvarta.lt  Prekių ženklai (2 vnt.)“,70-13-748,27.86,
UAB Babybellus,302704974,"Pašilės g. 84-23, Kaunas",29-24-1724,11/22/2013,9/10/2018,A. Mickevičiaus g. 23,Naujamiestis,Iškaba: „Snape “,70-13-1586,1.2,
UAB Babybellus,302704974,"Pašilės g. 84-23, Kaunas",29-24-627,3/26/2015,3/11/2020,A. Mickevičiaus g. 23,Naujamiestis,Iškaba: „Snape “,70-13-315,1.28,
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-883,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „Stiklo lakštas“,70-13-301,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-884,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „Silbeta“,70-13-302,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-885,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „peikko group“,70-13-303,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-886,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „bm  Baltic metal“,70-13-304,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-887,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „Scapa Baltic“,70-13-305,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-888,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „Danushis  Chemicals“,70-13-306,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-889,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „Stappert“,70-13-307,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-890,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „Ulmas“,70-13-309,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-891,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „admen Baltic“,70-13-310,"1,8",
"VG Valda, UAB",302705072,"R. Kalantos g. 49, Kaunas",29-24-892,5/11/2018,5/11/2019,Prie R. Kalantos g. 49,Petrašiūnai,Komercinė nuoroda: „petrašiūnų katilinė“,70-13-311,"1,8",
UAB „Autolux“,302707550,"Dariaus ir Girėno g. 42A, Vilnius",29-24-1110,5/25/2018,5/9/2023, Chemijos g. 9,Gričiupis,Iškaba: „Autolux“,70-13-566,0.595,
UAB „Stogo bagažinės“,302709932,"Lygybės g. 21-86, Kaunas",29-24-723,4/17/2018,4/17/2019,raudondvario pl. 76,Vilijampolė,Iškaba: „Stogobagazines.lt“,70-13-294,2.98,
UAB „BNO“,302710913,"Nemuno krant. 32-2, Kaunas",29-24-2150,10/11/2016,9/28/2021,M. Valančiaus g. 3,Senamiestis,Iškaba: „BNO Bionaturoazė“,70-13-1050,0.33,
UAB Pifka,302711050,"A. Juozapavičiaus pr. 21A-13, Kaunas",29-24-1566,5/21/2014,5/13/2019,Mituvos g. 4,Kalniečiai,Iškaba: „Pifka  Viešųjų patalpų sprendimai“,70-13-1511,0.15,
"Wide Horizons, UAB",302711239,"Naikupės g. 4-28, Klaipėda",29-24-84,2/23/2018,3/15/2021,Raudondvario pl. 126,Veršvai,"Iškaba: „Židiniai  Krosnelės  Kaminai  Židiniai, kaminai  Paminklai, viskas iš akmens“",70-13-287,4.73,
UAB „Ekodarbai“,302711972,"Butrimonių g. 7, Kaunas",29-24-2375,11/17/2017,11/16/2018,Prie T. Masiulio ir Nemajūnų g. sankryžos,Petrašiūnai,Komercinė nuoroda: „Metalo laužo supirktuvė“,70-13-1494,2.38,
UAB „Rubelija“ ,302713464,"Baltijos g. 52-35, Kaunas",29-24-1344,6/26/2018,12/6/2018,Žemaičių pl. 66,Milikoniai,Iškaba: „Pivorius  Šviežio alaus parduotuvė“,70-13-1714,"7,94",
UAB „Monvilė“,302715294,"Žalvarnių takas 17, Kaunas",29-24-114,1/30/2018,11/18/2018,Partizanų g. 86,Dainava,Iškaba: „Pica Tau  Tel. 8 600 566 67“,70-13-8,1.46,
UAB PIRKLYS,302715999,"Mituvos g. 5, Kaunas",29-24-1116,5/25/2018,5/25/2019,Pramonės pr. 6,Naujasodis,Iškaba: „Žaislų pirklys  Automobilių pirklys“,70-13-572,3,
UAB „SALNERA“,302716923,"Baltijos g. 20-13, Kaunas",29-24-2614,9/26/2014,9/25/2019,Žemaičių pl. 66,Milikoniai,Iškaba: „Žūklės reikmenys“,70-13-2461,3.52,
UAB „Valgora“,302718746,"Architektų g. 56-74, Vilnius",29-24-863,4/6/2016,3/28/2021,Karaliaus Mindaugo pr. 64,Naujamiestis,Iškaba: „Bless pizza“,70-13-367,1.42,
UAB VIVADENT,302721781,"Žuvinto g. 5A-9, Kaunas",29-24-1619,8/17/2015,8/11/2020,Savanorių pr. 60,Žaliakalnis,Iškaba: „Vivadent  Vivadent  Odontologijos klinika“,70-13-843,4.15,
UAB „ADMA“,302723049,"Raudondvario pl. 78, Kaunas",29-24-1886,10/15/2015,10/5/2020,Raudondvario pl. 78,Vilijampolė,Iškaba: „ADMA  Vonios kambario įranga  Keraminės plytelės“,70-13-1068,6.43,
UAB „ADMA“,302723049,"Raudondvario pl. 78, Kaunas",29-24-2608,12/21/2016,5/26/2019,Raudondvario pl. 78,Vilijampolė,Komercinis stendas (komercinė reklama): „www.adma.lt  Raudondvario pl. 78  Šildymo įranga  Katilai  Vonios įranga  Vidaus ir lauko kanalizacija  Radiatoriai (2 vnt)“,70-13-1572,15,
UAB  „Melira“,302724090,"V. Landsbergio-Žemkalnio g. 32-15, Kaunas",29-24-866,3/19/2014,2/20/2019,V. Landsbergio-Žemkalnio g. 30,Eiguliai,Iškaba: „Maisto prekės  8-22“,70-13-605,1.98,
"Graikas ir Ko, UAB",302724959,"Balbieriškio g. 9, Kaunas",29-24-780,4/23/2018,4/16/2023,Vilniaus g. 38,Senamiestis,Iškaba: „Graikiška virtuvė“,70-13-377,1.31,
UAB „Žvejuva“ ,302725114,"Eglių g. 37, Girionių k., Kauno r.",29-24-1321,6/22/2015,6/10/2020,A. Juozapavičiaus pr. 31,Žemieji Šančiai,Iškaba: „Žūklės prekės  Žvejuva“,70-13-697,0.98,
UAB Manfredas ir Ko,302726351,"H. Manto g. 13-33, Klaipėda",29-24-988,5/25/2018,5/1/2023,Vilniaus g. 23,Senamiestis,Iškaba: „Trip shop“,70-13-556,1.63,
UAB „G-group“ ,302726910,"M. Daukšos g. 5-6, Kaunas",29-24-2171,11/10/2015,11/3/2020,Rotušės a. 3,Senamiestis,Iškaba: „Michelle inspired by pizza history“,70-13-1247,0.38,
UAB Z-PROJECTS,302727115,"Kovo 11-osios g. 122, Kaunas",29-24-1342,6/26/2018,6/26/2019,Partizanų g. 15A,Dainava,Iškaba: „FEN  Maisto papildai sportui  FEN  www.fen.lt“,70-13-1467,"1,35",
UAB Z-PROJECTS,302727115,"Kovo 11-osios g. 122, Kaunas",29-24-1343,6/26/2018,6/26/2019,Partizanų g. 15A,Dainava,Iškaba: „FEN  Maisto papildai sportui  “,70-13-1468,4.772,
UAB „Tikošius“,302730225,"V. Krėvės pr. 87-105, Kaunas",29-24-2375,12/10/2016,12/31/2018,V. Krėvės pr. 97,Dainava,Iškaba: „Tavo sushi“,70-13-2684,1.92,
UAB „Tikošius“,302730225,"V. Krėvės pr. 87-105, Kaunas",29-24-2376,12/10/2016,12/31/2018,V. Krėvės pr. 97,Dainava,Iškaba: „Kepyklėlė  Sausainiai  Bandelės  Pyragai  Batonai“,70-13-2682,1.26,
UAB Odontologijos klinika „Ok“ ,302730862,"K. Dulksnio g. 15E, Narsiečių k. , Kauno r.",29-24-77,1/16/2017,12/8/2018,Veiverių g. 183D,Kazliškiai,Iškaba: „Odontologijos klinika  www.okklinkika.lt  (2 vnt.)  Tel. 8 657 77 727“,70-13-1890,6.3,
UAB Odontologijos klinika „Ok“ ,302730862,"K. Dulksnio g. 15E, Narsiečių k. , Kauno r.",29-24-1695,7/25/2017,7/25/2018,Veiverių g. 183D,Kazliškiai,Iškaba: „OK logotipas“,70-13-1131,10.073,
Rytų Europos kung fu akademija,302733602,"Kosmonautų g. 6-30, Jonava",29-24-2611,12/22/2017,4/5/2019,K. Donelaičio g. 33,Žemieji Šančiai,Iškaba: „IWKA  Kovos menų treniruotės“,70-13-1737,1.5,
"SAIRA, UAB ",302734711,"M. Pečiulionio g. 30, 46483, Kaunas",29-24-959,6/5/2018,6/4/2019,Savanorių pr. 273,Dainava,Iškaba: „Saira electronics  LED  Elektronikos komponentai  Saira electronics  Logotipai“,70-13-1602,10.26,
UAB „VERKIŲ ODONTOLOGIJOS KLINIKA“,302736527,"Verkių g. 1, Kaunas",29-24-986,3/26/2014,3/25/2019,Verkių g. 1,Aukštieji Šančiai,Iškaba: „ODONTOLOGIJOS KLINIKA“,70-13-1004,0.39,
Raimondo Klimo IĮ,302738745,"Varpo g. 39-29, Kaunas",29-24-764,3/24/2016,3/15/2021,Vasario 16-osios g. 9,Naujamiestis,Iškaba: „Kavinė 9“,70-13-284,0.85,
Raimondo Klimo IĮ,302738745,"Varpo g. 39-29, Kaunas",29-24-2550,12/9/2016,12/1/2021,Vasario 16-osios g. 9,Naujamiestis,Iškaba: „Kavinė 9  Dienos pietūs“,70-13-1307,1.8,
Raimondo Klimo IĮ,302738745,"Varpo g. 39-29, Kaunas",29-24-961,5/18/2018,1/14/2019,Laisvės al. 49A,Naujamiestis,Iškaba: „Kavinė 49“,70-13-206,0.48,
UAB „NT unija“,302739459,"Islandijos pl. 95-57, Kaunas",29-24-617,3/14/2016,3/14/2019,S. Žukausko g. 2D,Eiguliai,Iškaba: „NT unija  Nekilnojamojo turto agentūra“,70-13-202,1.54,
UAB „NT paslauga“,302741481,"Islandijos pl. 95-57, Kaunas",29-24-2035,12/30/2013,12/29/2018,Juozapavičiaus pr. 33,Žemieji Šančiai,Iškaba: „Universalaus lombardo paslaugos“,70-13-1793,1.1,
UAB „NT paslauga“,302741481,"Smilgų g. 5A, Mastaičių k. , Kauno r.",29-24-1689,8/28/2015,8/20/2020,M. Gimbutienės g. 3,Žemieji Šančiai,Iškaba: „Universalaus lombardo paslaugos  Kompiuterių servisas“,70-13-904,1.08,
UAB „Longrent“,302742430,"Rotušės a. 29, Kaunas",29-24-95,1/19/2018,5/18/2019,Rotušės a. 29,Senamiestis,Iškaba: „DJAN-GO   Švyturys  kokteilių baras  Senasis paštas“,70-13-1541,4.36,
UAB „ALGIRO“,302742487,"Savanorių pr. 120, Kaunas",29-24-766,5/18/2017,5/11/2019,Savanorių pr. 120,Žaliakalnis,Iškaba: „Viešbutis  Hotel  Algiro  Hotel“,70-13-1442,5.12,
UAB „Padangų zona“,302742761,"Ateities g. 5, Raseiniai",29-24-342,2/14/2017,11/24/2018,V. Krėvės pr. 131-113,Naujasodis,Iškaba: „Padangų zona  Padangų ir ratlankių parduotuvė  Padangų servisas“,70-13-1634,7.5,
UAB „Autogudė“,302747872,"Draugystės g. 15B, Kaunas",29-24-1358,6/26/2018,6/26/2019,A. Juozapavičiaus pr. 3H,Žemieji Šančiai,"Iškaba: „UAB „Autogudė“  Autobusų, mikroautobusų, vilkikų ir kt. remontas  Telefonai“",70-13-680,3,
UAB „CITUS CONSTRUCTION“,302749318,"M. Valančiaus g. 20, Kaunas",29-24-9,1/6/2016,12/21/2020,M. Valančiaus g. 20,Senamiestis,Iškaba: „CITUS CONSTRUCTION“,70-13-1458,0.67,
"Sportclothes, UAB",302750231,"Kęstučio g. 59-35, Kaunas",29-24-1698,8/31/2015,8/25/2020,Laisvės al. 99,Naujamiestis,Iškaba: „SIL  Sil Laisvalaikio prekės  Darbo laikas“,70-13-914,0.81,
"Sportclothes, UAB",302750231,"Kęstučio g. 59-35, Kaunas",29-24-2453,12/21/2015,12/10/2020,A. Putvinskio g. 50A,Naujamiestis,Iškaba: „SIL  “,70-13-1419,1.83,
"Lindo, UAB",302752168,"V. Krėvės pr. 133B, Kaunas",29-24-56,1/11/2018,12/27/2022,V. Krėvės pr. 133B,Naujasodis,Iškaba: „Tekstilės skalbykla“,70-13-1758,2.296,
UAB „VASAROP“ ,302752232,"Marvos skg. 12, Kaunas",29-24-1401,6/8/2016,1/21/2019,Savanorių pr. 363,Eiguliai,Iškaba: „La Bamba soliariumai  “,70-13-395,2.2,
UAB „VASAROP“ ,302752232,"Marvos skg. 12, Kaunas",29-24-1402,6/8/2016,10/10/2018,S. Daukanto g. 10,Naujamiestis,Iškaba: „La Bamba  La Bamba soliariumai  (2 vnt.)“,70-13-1329,7.2,
UAB Vaineta ir partneriai,302757603,"Savanorių pr. 176, Kaunas",29-24-577,3/4/2016,2/23/2021,Karaliaus Mindaugo  pr. 66,Naujamiestis,Iškaba: „Sveikatingumo studija“,70-13-210,1.29,
UAB Vaineta ir partneriai,302757603,"Savanorių pr. 176, Kaunas",29-24-1271,5/20/2016,2/24/2021,Karaliaus Mindaugo  pr. 66,Naujamiestis,Iškaba: „Prekės ženklas“,70-13-588,0.51,
UAB Vaineta ir partneriai,302757603,"Savanorių pr. 176, Kaunas",29-24-1124,5/28/2018,5/6/2023,Pilies g. 1,Naujamiestis,Iškaba: „Pinkas  grožio salonas“,70-13-508,0.33,
AB „AGATHUM“,302762212,"Vaisių g. 16A, Kaunas",29-24-555,3/15/2017,3/6/2022,Laisvės al. 51A,Naujamiestis,Iškaba: „Happspace“,70-13-185,1.574,
AB „AGATHUM“,302762212,"Laisvės al. 51A-206, Kaunas",29-24-296,2/14/2018,2/8/2023,Karaliaus Mindaugo pr. 37,Naujamiestis,Iškaba: „Happspace“,70-13-136,6.42,
UAB „DRUSVALAS“,302765361,"Laisvės pr. 77C, Vilnius",29-24-843,4/15/2015,3/30/2020,Savanorių pr. 255,Kalniečiai,Iškaba: „CURREX PRIME  Valiutos keitykla“,70-13-382,3.6,
UAB „Avelika“,302766591,"Vytauto pr. 32, Kaunas",29-24-1382,6/5/2017,6/4/2019,Vytauto pr. 32,Naujamiestis,Iškaba: „OPTIMISTAI“,70-13-856,1.502,
UAB „CarPro LT“,302769445,"Neries krant. 16, Kaunas",29-24-1604,8/17/2015,8/11/2020,Varnių g. 48E,Vilijampolė,Iškaba: „CarPro  Automobilių elektronikos profesionalai  Tel. +370 675 00 909“,70-13-853,3.2,
UAB „CarPro LT“,302769445,"Neries kr.16, Kaunas",29-24-1744,9/10/2015,8/23/2020,Ateities pl. 30B,Vilijampolė,Iškaba: „CarPro  Automobilių elektronikos profesionalai  Tel. +370 675 00 909“,70-13-912,6.89,
UAB „CarPro LT“,302769445,"Neries kr.16, Kaunas",29-24-1745,9/10/2015,8/23/2020,Ateities pl. 30B,Vilijampolė,Komercinė nuoroda: „CarPro  Automobilių elektronikos profesionalai  www.carpro.lt“,70-13-913,1.8,
UAB „CarPro LT“,302769445,"Neries kr.16, Kaunas",29-24-1820,10/10/2015,8/23/2020,Ateities pl. 30B,Vilijampolė,Komercinė nuoroda: „CarPro  Automobilių elektronikos profesionalai  www.carpro.lt (prie leidimo Nr. 29-24-1745)“,70-13-913,1.4,
UAB „KLINKERLAND KAUNAS“,302770561,"Radvilėnų pl. 8, Kaunas",29-24-2341,12/13/2017,12/12/2018,A. Juozapavičiaus pr. 27,Žemieji Šančiai,Iškaba: „KLINKERLAND“,70-13-1320,1.12,
UAB „Moon Projects“,302773493,"P. Lukšio g. 39-58, Kaunas",29-24-1606,8/13/2015,8/11/2020,Puodžių g. 4,Senamiestis,Iškaba: „Kūrybinė agentūra  creative agency  moon troops“,70-13-851,0.18,
UAB „Tautrimo Aštrausko klinika“,302777470,"A. Juozapavičiaus pr. 21A-42, Kaunas",29-24-440,2/24/2017,2/21/2022,Vičiūnų g. 24,Panemunė,Iškaba: „Tautrimo Aštrausko klinika“,70-13-149,3.54,
UAB „MILVID“,302783014,"Pušaloto g. 139, Panevėžys",29-24-2158,7/29/2014,7/28/2019,Naugardo g. 6,Senamiestis,Iškaba: „imuzika  Parduotuvė  Darbo laikas  imuzika“,70-13-2000,1.07,
UAB „Italona“,302783904,"V. Krėvės pr. 72-138, Kaunas",29-24-565,3/26/2018,3/26/2019,K. Donelaičio g. 33,Naujamiestis,"Iškaba: „Grožio salonas  Tel. 8 698 71 377, 116 kab.“",70-13-1682,1.5,
UAB E. Baranauskienės odontologijos kabinetas,302784415,"M. Daukšos g. 53-2, Kaunas",29-24-2580,12/21/2017,12/13/2022,M. Daukšos g. 53,Senamiestis,Iškaba: „Odontologijos kabinetas“,70-13-1681,0.22,
UAB „Power Parts Pro“,302784671,"Ateities pl. 31, Kaunas",29-24-708,2/27/2014,2/26/2019,Ateities pl. 31,Naujasodis,Iškaba: „Power Parts Pro  Your business power with professional parts“,70-13-771,1.25,
UAB „Idea Tix“,302785499,"Draugystės g. 19D, Kaunas",29-24-1739,8/3/2017,8/3/2018,Savanorių pr. 213,Kalniečiai,Iškaba: „Kelionių agentūra  Keliauk su idėja“,70-13-884,2.29,
UAB „Idea Tix“,302785499,"Draugystės g. 19D, Kaunas",29-24-1562,8/3/2018,8/3/2019,Savanorių pr. 213,Kalniečiai,Iškaba: „Kelionių agentūra  Keliauk su idėja“,70-13-884,2.29,
UAB „Pasaulio optika“ ,302786149,"Gamyklos g. 39, Mažeikiai",29-24-2190,10/19/2017,10/19/2018,Pramonės pr. 6,Naujasodis,Iškaba: „OPTIKOS PASAULIS“,70-13-1418,4.2,
UAB „Pasaulio optika“ ,302786149,"Gamyklos g. 39, 89104, Mažeikiai",29-24-2534,12/13/2017,12/20/2019,Žemaičių pl. 23,Smėliai,Iškaba: „OPTIKOS PASAULIS“,70-13-1627,3.85,
IĮ „Vilijos baldai“,302788538,"Verkių g. 18-2, Kaunas",29-24-257,2/2/2017,7/31/2019,Savanorių pr. 192,Žaliakalnis,Iškaba: „Baldai  Lietuviški  Korpusiniai  Interjero projektavimas  Baldų studija ir gamyba  Interjero projektavimas  www.vilijosbaldai.lt“,70-13-2205,3.66,
UAB „Lietuvos Gurmanas“,302789985,"Veiverių g. 61, Kaunas",29-24-1527,7/30/2015,7/21/2020,Veiverių g. 61,Birutė,Iškaba: „Lietuvos Gurmanas  Skanėstų krautuvėlė (3 vnt.)“,70-13-815,7.13,
UAB „A. Budreikienės odontologijos klinika“,302791897,"Kęstučio g. 30-1, Kaunas",29-24-1782,8/16/2016,8/3/2021,Kęstučio g. 30,Naujamiestis,Iškaba: „Odontologijos klinika  Denta Sana“,70-13-891,0.84,
UAB „Tavo sveikata“,302795194,"Šilo g. 11, Kaunas",29-24-417,2/5/2014,2/3/2019,Pramonės pr. 29,Dainava,Iškaba: „Saulės studija  Įdegis Jūsų puikiam įvaizdžiui“,70-13-179,3,
