Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
253,1457,2002-11-09,n,Lietuvos ir Kinijos UAB „Chengvis“,110484547,,,Naujamiestis,"restoranas, A. Mickevičiaus g. 30",alkoholiniais gėrimais,11–23 val.,,,,,,gerti ten pat ir išsinešti
254,266,1997-08-01,n,UAB „Sandija“,110520281,,,Eiguliai,"restoranas ir mini barai motelio kambariuose, Jonavos g. 47",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
255,1626,2004-06-15,n,UAB „Thomas Philipps Baltex“,110590187,,,Dainava,"specializuotas parduotuvės skyrius, Savanorių pr. 292, Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",10–20 val.,,,,,,išsinešti
256,207/3,2013-06-28,n,Bendra Lietuvos-Vokietijos įmonė uždaroji akcinė bendrovė „KAUNO ŽALGIRIO JACHTKLUBAS“,110643241,,,Petrašiūnai,"kavinė, R. Kalantos g. 124, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
257,1055/1,2001-03-14,n,UAB „Alaista“,110678018,,,Gričiupis,"specializuotas parduotuvės skyrius, Taikos pr. 70",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
258,856/1,2001-01-10,n,UAB „Pas Stanley“,110708618,,,Senamiestis,"kavinė „Internetas“, M. Daukšos g. 17 / Vilniaus g. 24",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
259,1434,2002-08-28,n,Lietuvos ir Kinijos UAB „Didžioji siena“,110724056,,,Senamiestis,"kavinė laive „Aitra“, Prieplaukos krantinė, prie T. Daugirdo g. 2",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
260,1434/1,2002-11-09,n,Lietuvos ir Kinijos UAB „Didžioji siena“,110724056,,,Senamiestis,"restoranas, Kumelių g. 7-7",alkoholiniais gėrimais,11–24 val.,,,,,,gerti ten pat ir išsinešti
261,1453,2002-11-01,n,UAB „Norfos mažmena“,110778328,,,Dainava,"specializuotas parduotuvės skyrius, V. Krėvės pr. 49",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
262,1453/1,2002-12-12,n,UAB „Norfos mažmena“,110778328,,,Smėliai,"specializuotas parduotuvės skyrius, Naujakurių g. 31, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
263,1453/2,2003-07-09,n,UAB „Norfos mažmena“,110778328,,,Panerys,"specializuotas parduotuvės skyrius, Vytenio g. 22 / Demokratų g. 34",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
264,1453/3,2003-07-24,n,UAB „Norfos mažmena“,110778328,,,Eiguliai,"specializuotas parduotuvės skyrius, Ašigalio g. 11A",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
265,1453/4,2003-08-12,n,UAB „Norfos mažmena“,110778328,,,Milikoniai,"specializuotas parduotuvės skyrius, Kuršių g. 51",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
266,1453/7,2005-09-01,n,UAB „Norfos mažmena“,110778328,,,Eiguliai,"parduotuvė, Šiaurės pr. 44, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
267,1453/8,2010-10-13,n,Uždaroji akcinė bendrovė „NORFOS MAŽMENA“,110778328,,,Dainava,"specializuotas alkoholinių gėrimų prekybos skyrius, Taikos pr. 81, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
268,1453/9,2011-06-13,n,Uždaroji akcinė bendrovė „NORFOS MAŽMENA“,110778328,,,Žemieji Šančiai,"specializuotas alkoholinių gėrimų prekybos skyrius, A. Juozapavičiaus pr.  84A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
269,1453/10,2012-09-03,n,Uždaroji akcinė bendrovė „NORFOS MAŽMENA“,110778328,,,Eiguliai,"stacionariosios parduotuvės specializuotas alkoholinių gėrimų skyrius, P. Lukšio g. 70, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
270,1453/11,2012-12-20,n,Uždaroji akcinė bendrovė „NORFOS MAŽMENA“,110778328,,,Petrašiūnai,"parduotuvės alkoholinių gėrimų skyrius, R. Kalantos g. 81, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
271,1453/12,2015-08-17,n,Uždaroji akcinė bendrovė „NORFOS MAŽMENA“,110778328,,,Smėliai,"parduotuvės alkoholinių gėrimų skyrius, Baltų pr. 195, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
272,815/1,2000-04-05,n,UAB „Italita“,110794713,,,Naujamiestis,"restoranas, A. Mickevičiaus g. 19",alkoholiniais gėrimais,9–4 val.,,,,,,gerti ten pat ir išsinešti
273,1764,2006-05-31,n,UAB „Pramogų pasaulis“,110852878,,,Milikoniai,"baras prekybos centre „Mega“, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
274,1649,2004-09-09,n,UAB Picerija „PAS PAOLO“,110895744,,,Naujamiestis,"kavinė-baras, S. Daukanto g. 17, Kaunas",alkoholiniais gėrimais,9–3 val.,,,,,,gerti ten pat ir išsinešti
275,1649/1,2013-03-29,n,UAB Picerija „PAS PAOLO“,110895744,,,Smėliai,"picerija, Baltų pr. 16, Kaunas",alkoholiniais gėrimais,8–3 val.,,,,,,gerti ten pat ir išsinešti
276,2078,2011-04-12,n,UAB „PREMIER RESTAURANTS“,111537013,,,Naujasodis,"restoranas, Pramonės pr. 8B, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,gerti ten pat ir išsinešti
277,2078/1,2011-04-12,n,UAB „PREMIER RESTAURANTS“,111537013,,,Eiguliai,"restoranas, Savanorių pr. 321A, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,gerti ten pat ir išsinešti
278,2078/2,2017-11-17,n,UAB „PREMIER RESTAURANTS“,111537013,,,Senamiestis,"restoranas, Karaliaus Mindaugo pr. 18, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurių tūrinė etilo alkoholio koncentracija neviršija 7,5 proc.",nenurodytas,,,,,,vartoti vietoje ir išsinešti
279,1035/1,2001-10-03,n,UAB „Fulida“,111648914,,,Eiguliai,"kavinė-baras, Jonavos g. 260",alkoholiniais gėrimais,11–24 val.,,,,,,gerti ten pat ir išsinešti
280,1035/2,2003-12-19,n,UAB „Fulida“,111648914,,,Naujamiestis,"kavinė, A. Mickevičiaus g. 30",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat ir išsinešti
281,1341/2,2004-07-26,n,UAB „Baltic Petroleum“,111703588,,,Freda,"degalinė, H. ir O. Minkovskių g. 132, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
282,1341/3,2005-01-13,n,UAB „Baltic Petroleum“,111703588,,,Žaliakalnis,"degalinė, Jonavos g. 60A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
283,1341/4,2006-01-09,n,UAB „Baltic Petroleum“,111703588,,,Panemunė,"degalinė, Vaidoto g. 153, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
284,1341/5,2007-11-21,n,UAB „BALTIC PETROLEUM“,111703588,,,Amaliai,"degalinė, Chemijos g. 6, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
285,1341/6,2007-12-28,n,UAB „BALTIC PETROLEUM“ ,111703588,,,Smėliai,"degalinė, Baltijos g. 90B, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
286,1341/7,2007-12-28,n,UAB „BALTIC PETROLEUM“ ,111703588,,,Vaišvydava,"degalinė, Didžioji g. 68, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
287,1341/8,2008-01-08,n,UAB „BALTIC PETROLEUM“ ,111703588,,,Naujasodis,"degalinė, Taikos pr. 120, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
288,1341/9,2015-05-04,n,UAB „BALTIC PETROLEUM“,111703588,,,Vilijampolė,"degalinė, Raudondvario pl. 82, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
289,1188/1,2002-06-05,n,UAB „S. Barba ir Ko“,111722898,,,Naujasodis,"paviljonas, Taikos pr. 135B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–20 val.,,,,,,išsinešti
290,1660,2004-11-17,n,UAB „Mecom grupp“,111733421,,,Naujamiestis,"baras, K. Donelaičio g. 27, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
291,1660/1,2006-11-16,n,UAB „MECOM GRUPP“,111733421,,,Žaliakalnis,"baras, Savanorių pr. 170, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
292,1660/2,2015-04-02,n,UAB „MECOM GRUPP“,111733421,,,Dainava,"baras, V. Krėvės pr. 97, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
293,1292,2001-08-18,n,Michele Buonocore įmonė,111739456,,,Senamiestis,"baras, Nemuno g. 45",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
294,2486,2016-05-03,n,UAB „Lidl Lietuva“,111791015,,,Milikoniai,"du alkoholinių gėrimų skyriai vienoje parduotuvės aptarnavimo salėje, Baltų pr. 10, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
295,2486/1,2016-05-03,n,UAB „Lidl Lietuva“,111791015,,,Eiguliai,"du alkoholinių gėrimų skyriai vienoje parduotuvės aptarnavimo salėje, Šiaurės pr. 1A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
296,2486/2,2016-12-19,n,UAB „Lidl Lietuva“,111791015,,,Kazliškiai,"du alkoholinių gėrimų skyriai vienoje parduotuvės aptarnavimo salėje, Veiverių g. 146, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
297,2486/3,2017-02-02,n,UAB „Lidl Lietuva“,111791015,,,Kalniečiai," du alkoholinių gėrimų skyriai vienoje parduotuvės aptarnavimo salėje, 
Savanorių pr. 315, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
298,2486/4,2017-04-07,n,UAB „Lidl Lietuva“,111791015,,,Gričiupis,"du alkoholinių gėrimų skyriai vienoje parduotuvės aptarnavimo salėje, K. Baršausko g. 66, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
299,2486/5,2018-02-06,n,UAB „Lidl Lietuva“,111791015,,,Žemieji Šančiai,"du alkoholinių gėrimų skyriai vienoje parduotuvės aptarnavimo salėje, A. Juozapavičiaus pr. 127",alkoholiniais gėrimais,"10–20 val. pirmadieniais–šeštadieniais, 10–15 val. sekmadieniais",,,,,,išsinešti
300,2486/6,2018-02-23,n,UAB „Lidl Lietuva“,111791015,,,Naujasodis,"du alkoholinių gėrimų skyriai vienoje parduotuvės aptarnavimo salėje, Pramonės pr. 6B, Kaunas",alkoholiniais gėrimais,"10–20 val. pirmadieniais–šeštadieniais, 10–15 val. sekmadieniais",,,,,,išsinešti
301,1781,2006-09-20,n,UAB „Gelsva“,120596772,,,Milikoniai,"specializuotas parduotuvės skyrius, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
302,1781/1,2007-04-04,n,UAB „Gelsva“,120596772,,,Naujamiestis,"baras, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat ir išsinešti
303,1781/2,2010-11-24,n,UAB „Gelsva“,120596772,,,Naujasodis,"specializuotas alkoholinių gėrimų prekybos skyrius, Pramonės pr. 6, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
304,1781/3,2011-05-17,n,UAB „Gelsva“,120596772,,,Dainava,"specializuotas alkoholinių gėrimų prekybos skyrius, Savanorių pr. 346, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
305,1781/4,2011-11-03,n,UAB „Gelsva“,120596772,,,Gričiupis,"specializuotas alkoholinių gėrimų prekybos skyrius, K. Baršausko g. 66A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
306,1781/5,2012-09-25,n,UAB „Gelsva“,120596772,,,Žaliakalnis,"parduotuvės alkoholinių gėrimų skyrius, Savanorių pr. 166, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
307,1781/6,2013-11-08,n,UAB „Gelsva“,120596772,,,Naujasodis,"parduotuvės „VYNOTEKA“ alkoholinių gėrimų skyrius, Pramonės pr. 16A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
308,1781/7,2017-06-15,n,UAB „Gelsva“,120596772,,,Smėliai,"parduotuvės „VYNOTEKA“ alkoholinių gėrimų skyrius, Baltijos g. 58, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
309,1781/8,2017-06-15,n,UAB „Gelsva“,120596772,,,Freda,"parduotuvės „VYNOTEKA“ alkoholinių gėrimų skyrius, Europos pr. 43, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
310,1781/9,2017-11-30,n,UAB „Gelsva“,120596772,,,Eiguliai,"parduotuvės alkoholinių gėrimų skyrius, Šiaurės pr. 44, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
311,1455,2002-11-09,n,Valstybės įmonė „Lietuvos paštas“,121215587,,,Naujamiestis,"valgykla „Ragelis“, Laisvės al. 102 / E. Ožeškienės g. 10",alkoholiniais gėrimais,7–21 val.,,,,,,gerti ten pat ir išsinešti
312,1794,2006-10-27,n,Uždaroji akcinė bendrovė „MINERALINIAI VANDENYS“,121702328,,,Senamiestis,"specializuota alkoholinių gėrimų parduotuvė, T. Daugirdo g. 4, Kaunas",alkoholiniais gėrimais,9–23 val.,,,,,,išsinešti
313,1794/1,2008-07-02,n,Uždaroji akcinė bendrovė „MINERALINIAI VANDENYS“,121702328,,,Dainava,"specializuota alkoholinių gėrimų parduotuvė, Partizanų g. 19, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
314,1794/2,2012-12-13,n,Uždaroji akcinė bendrovė „MINERALINIAI VANDENYS“,121702328,,,Naujamiestis,"parduotuvės alkoholinių gėrimų skyrius, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
315,1794/3,2013-02-21,n,Uždaroji akcinė bendrovė „MINERALINIAI VANDENYS“,121702328,,,Naujamiestis,"baras, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat
316,1794/4,2016-11-10,n,Uždaroji akcinė bendrovė „MINERALINIAI VANDENYS“,121702328,,,Milikoniai,"parduotuvės alkoholinių gėrimų skyrius, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
317,932/3,2001-11-07,n,AB „Kalnapilio-Tauro grupė“,121958128,,,Naujamiestis,"firminė parduotuvė, Šiaulių g. 50-7","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti (alų – ir pilstomą)
318,1970,2009-11-25,n,Uždaroji akcinė bendrovė „TIGRIS“,121985538,,,Gričiupis,"baras, Kovo 11-osios g. 22, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
319,1970/1,2013-08-01,n,Uždaroji akcinė bendrovė „TIGRIS“,121985538,,,Smėliai,"baras, Baltų pr. 16, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
320,1819,2007-04-06,n,UAB „FORUM CINEMAS“,122579622,,,Naujamiestis,"kavinė, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
321,1796,2006-11-30,n,Uždaroji akcinė bendrovė „Restoranų grupė FORTAS“,122639457,,,Gričiupis,"restoranas, K. Baršausko g. 66A, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
322,1796/1,2010-09-08,n,Uždaroji akcinė bendrovė „Restoranų grupė FORTAS“,122639457,,,Senamiestis,"restoranas, Rotušės a. 4, Kaunas",alkoholiniais gėrimais,10–2 val.,,,,,,gerti ten pat ir išsinešti
323,1919,2009-03-13,n,UŽDAROJI AKCINĖ BENDROVĖ „BEKTA“,122768085,,,Milikoniai,"baras, Baltų pr. 16 / Sembų g. 2, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
324,1938,2009-06-10,n,Uždaroji akcinė bendrovė „VILOKTA“,122889941,,,Naujasodis,"degalinė, Ateities pl. 50B, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
325,1938/1,2011-03-17,n,Uždaroji akcinė bendrovė „VILOKTA“,122889941,,,Palemonas,"kavinė, Ateities pl. 50B, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
326,1938/2,2016-07-12,n,Uždaroji akcinė bendrovė „VILOKTA“,122889941,,,Freda,"kavinė, Europos pr. 43, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
327,1294/1,2003-11-12,n,UAB „Plaunu pats“,122906942,,,Gričiupis,"specializuotas parduotuvės skyrius, Taikos pr. 80A",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
328,1058,2000-06-21,n,"MAXIMA LT, UAB",123033512,,,Panerys,"parduotuvė, Demokratų g. 50",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
329,1058/1,2000-06-28,n,"MAXIMA LT, UAB",123033512,,,Milikoniai,"parduotuvė, Šarkuvos g. 1A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
330,1058/3,2000-06-28,n,"MAXIMA LT, UAB",123033512,,,Dainava,"parduotuvė, V. Krėvės pr. 14B",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
331,1058/5,2000-07-12,n,"MAXIMA LT, UAB",123033512,,,Naujamiestis,"specializuotas parduotuvės skyrius, Laisvės al. 60",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
332,1058/7,2000-07-26,n,"MAXIMA LT, UAB",123033512,,,Naujamiestis,"specializuotas parduotuvės skyrius, Vytauto pr. 32",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
333,1058/8,2000-08-07,n,"MAXIMA LT, UAB",123033512,,,Dainava,"specializuotas parduotuvės skyrius, V. Krėvės pr. 108",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
334,1058/9,2000-08-30,n,"MAXIMA LT, UAB",123033512,,,Vilijampolė,"specializuotas parduotuvės skyrius, Bajorų g. 10 / A. Stulginskio g. 63",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
335,1058/11,2000-12-01,n,"MAXIMA LT, UAB",123033512,,,Dainava,"specializuotas parduotuvės skyrius, Pramonės pr. 29",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
336,1058/12,2001-11-01,n,"MAXIMA LT, UAB",123033512,,,Žemieji Šančiai,"specializuotas parduotuvės skyrius, A. Juozapavičiaus pr. 68",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
337,1058/13,2002-07-18,n,"MAXIMA LT, UAB",123033512,,,Dainava,"sulčių baras, kepsnių baras, Pramonės pr. 29",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
338,1058/16,2003-06-18,n,"MAXIMA LT, UAB",123033512,,,Eiguliai,"specializuotas parduotuvės skyrius, Savanorių pr. 375",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
339,1058/17,2003-08-12,n,"MAXIMA LT, UAB",123033512,,,Naujamiestis,"parduotuvės specializuotas ir savitarnos skyriai, Kęstučio g. 55 / S. Daukanto g. 5",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
340,1058/18,2003-11-17,n,"MAXIMA LT, UAB",123033512,,,Gričiupis,"specializuotas parduotuvės skyrius, K. Baršausko g.  66A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
341,1058/19,2003-12-05,n,"MAXIMA LT, UAB",123033512,,,Kalniečiai,"specializuotas parduotuvės skyrius, Savanorių pr. 255",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
342,1058/20,2003-12-05,n,"MAXIMA LT, UAB",123033512,,,Kalniečiai,"baras, Savanorių pr. 255",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
343,1058/21,2005-01-13,n,"MAXIMA LT, UAB",123033512,,,Naujasodis,"specializuotas parduotuvės skyrius (1-1), Pramonės pr. 16 (8F1b), Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
344,1058/22,2005-12-02,n,"MAXIMA LT, UAB",123033512,,,Kazliškiai,"specializuotas parduotuvės skyrius, Veiverių g. 150B, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
345,1058/23,2007-03-30,n,"MAXIMA LT, UAB",123033512,,,Naujamiestis,"specializuotas parduotuvės skyrius, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
346,1058/24,2007-08-16,n,"MAXIMA LT, UAB",123033512,,,Eiguliai,"specializuotas parduotuvės skyrius, Kalniečių g. 253A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
347,1058/25,2007-11-21,n,"MAXIMA LT, UAB",123033512,,,Lampėdžiai,"specializuotas parduotuvės skyrius, Raudondvario pl. 284A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
348,1058/26,2008-01-14,n,"MAXIMA LT, UAB",123033512,,,Sargėnai,"specializuotas parduotuvės skyrius, Panerių g. 322, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
349,1058/27,2008-06-13,n,"MAXIMA LT, UAB",123033512,,,Smėliai,"specializuotas prekybos skyrius, Žiemgalių g. 2, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
350,1058/28,2012-06-12,n,"MAXIMA LT, UAB",123033512,,,Romainiai,"stacionariosios parduotuvės specializuotas alkoholinių gėrimų skyrius, Medekšinės g. 10, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
351,1058/29,2012-08-01,n,"MAXIMA LT, UAB",123033512,,,Panemunė,"stacionariosios parduotuvės specializuotas alkoholinių gėrimų skyrius,Vaidoto g. 159, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
352,1058/30,2012-08-21,n,"MAXIMA LT, UAB",123033512,,,Rokai,"stacionariosios parduotuvės specializuotas alkoholinių gėrimų skyrius, Rokų g. 17, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
353,1058/31,2013-07-12,n,"MAXIMA LT, UAB",123033512,,,Eiguliai,"stacionariosios parduotuvės alkoholinių gėrimų skyrius, Šiaurės pr. 8D, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
354,1058/32,2013-10-08,n,"MAXIMA LT, UAB",123033512,,,Petrašiūnai,"parduotuvės alkoholinių gėrimų skyrius, T. Masiulio g. 16E, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
355,1058/33,2016-08-19,n,"MAXIMA LT, UAB",123033512,,,Vaišvydava,"parduotuvės alkoholinių gėrimų skyrius, Didžioji g. 102, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
356,1058/34,2017-11-30,n,"MAXIMA LT, UAB",123033512,,,Žaliakalnis,"parduotuvės alkoholinių gėrimų skyrius, Jonavos g. 60, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
357,1398,2002-05-08,n,UAB „Skonis ir kvapas“,123547759,,,Naujamiestis,"baras, E. Ožeškienės g. 7-7",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat ir išsinešti
358,1759,2006-04-26,n,UAB „Lietuvos spaudos“ Vilniaus agentūra,123640551,,,Naujasodis,"degalinė, Pramonės pr. 6A, Kaunas",alkoholiniais gėrimais,6–23 val.,,,,,,išsinešti
359,1759/1,2006-08-08,n,UAB „Reitan Convenience Lithuania“,123640551,,,Kalniečiai,"specializuotas alkoholinių gėrimų pardavimo skyrius, Savanorių pr. 255 , Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
360,1759/2,2006-09-20,n,UAB „Reitan Convenience Lithuania“,123640551,,,Milikoniai,"specializuotas parduotuvės skyrius, Islandijos pr. 32, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
361,1759/3,2007-01-31,n,UAB „Reitan Convenience Lithuania“,123640551,,,Gričiupis,"specializuotas parduotuvės skyrius (1-7), K. Baršausko g. 66A, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
362,1759/4,2007-04-06,n,UAB „Reitan Convenience Lithuania“,123640551,,,Naujamiestis,"specializuotas parduotuvės skyrius, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
363,1759/5,2008-11-04,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Naujamiestis,"specializuotas alkoholinių gėrimų prekybos skyrius, Laisvės al. 40 / A. Mickevičiaus g. 36, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,išsinešti
364,1759/6,2008-11-28,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Naujamiestis,"specializuotas alkoholinių gėrimų prekybos skyrius, Laisvės al. 86, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
365,1759/7,2009-03-13,n,UAB „Reitan Convenience Lithuania“,123640551,,,Dainava,"specializuotas alkoholinių gėrimų prekybos skyrius, Savanorių pr. 346, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
366,1759/8,2010-05-19,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Dainava,"kioskas prie namo Kovo 11-osios g. 102, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
367,1759/9,2010-05-19,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Petrašiūnai,"kioskas prie namo R. Kalantos g. 119, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
